id;code;name;level;dps;damage_per_hit;hitpoints;build_cost;build_time;experience;required_th;size;min_range;max_range;attack_speed;damage_type;target_type;max_count
2;AC;Archer Tower;2;15;7.5;420;2.000;2m;10;2;3x3;11;11;0.5s;Single Target;Ground & Air;1
2;AC;Archer Tower;3;19;9.5;460;5.000;20m;34;3;3x3;12;12;0.5s;Single Target;Ground & Air;1
2;AC;Archer Tower;4;25;12.5;500;20.000;1h;60;4;3x3;13;13;0.5s;Single Target;Ground & Air;2
2;AC;Archer Tower;5;30;15;540;70.000;1h 30m;73;5;3x3;14;14;0.5s;Single Target;Ground & Air;3
2;AC;Archer Tower;6;35;17.5;580;80.000;2h;84;5;3x3;15;15;0.5s;Single Target;Ground & Air;3
2;AC;Archer Tower;7;42;21;630;150.000;3h;103;6;3x3;16;16;0.5s;Single Target;Ground & Air;3
2;AC;Archer Tower;8;48;24;690;200.000;4h;120;7;3x3;17;17;0.5s;Single Target;Ground & Air;4
2;AC;Archer Tower;9;56;28;750;400.000;5h;134;8;3x3;18;18;0.5s;Single Target;Ground & Air;5
2;AC;Archer Tower;10;63;31.5;810;460.000;6h;146;8;3x3;19;19;0.5s;Single Target;Ground & Air;5
2;AC;Archer Tower;11;70;35;890;600.000;7h;158;9;3x3;20;20;0.5s;Single Target;Ground & Air;6
2;AC;Archer Tower;12;74;37;970;700.000;8h;169;10;3x3;21;21;0.5s;Single Target;Ground & Air;7
2;AC;Archer Tower;13;78;39;1.050;1.000.000;10h;189;10;3x3;22;22;0.5s;Single Target;Ground & Air;7
2;AC;Archer Tower;14;82;41;1.130;1.100.000;11h;198;11;3x3;23;23;0.5s;Single Target;Ground & Air;8
2;AC;Archer Tower;15;85;42.5;1.230;1.300.000;12h;207;11;3x3;24;24;0.5s;Single Target;Ground & Air;8
2;AC;Archer Tower;16;90;45;1.310;1.600.000;16h;240;12;3x3;25;25;0.5s;Single Target;Ground & Air;8
2;AC;Archer Tower;17;100;50;1.390;1.800.000;20h;268;12;3x3;26;26;0.5s;Single Target;Ground & Air;8
2;AC;Archer Tower;18;110;55;1.510;2.000.000;1d;293;13;3x3;27;27;0.5s;Single Target;Ground & Air;8
2;AC;Archer Tower;19;120;60;1.600;2.200.000;1d 6h;328;13;3x3;28;28;0.5s;Single Target;Ground & Air;8
2;AC;Archer Tower;20;135;67.5;1.700;3.000.000;1d 12h;360;14;3x3;29;29;0.5s;Single Target;Ground & Air;8
2;AC;Archer Tower;21;145;72.5;1.800;4.000.000;2d;415;15;3x3;30;30;0.5s;Single Target;Ground & Air;8
3;MRT;Mortar;1;4;20;400;5.000;30m;42;3;3x3;4;11;5s;Splash (1.5 tiles);Ground;1
3;MRT;Mortar;2;5;25;450;25.000;1h;60;4;3x3;4;11;5s;Splash (1.5 tiles);Ground;1
3;MRT;Mortar;3;6;30;500;90.000;2h;84;5;3x3;4;11;5s;Splash (1.5 tiles);Ground;1
3;MRT;Mortar;4;7;35;550;180.000;3h;103;6;3x3;4;11;5s;Splash (1.5 tiles);Ground;2
3;MRT;Mortar;5;9;45;600;300.000;6h;146;7;3x3;4;11;5s;Splash (1.5 tiles);Ground;3
3;MRT;Mortar;6;11;55;650;500.000;8h;169;8;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;7;15;75;700;900.000;12h;207;9;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;8;20;100;800;1.200.000;18h;254;10;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;9;25;125;950;1.600.000;20h;268;11;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;10;30;150;1.100;1.800.000;1d;293;11;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;11;35;175;1.300;2.300.000;1d 6h;328;12;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;12;38;190;1.500;2.400.000;1d 12h;360;12;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;13;42;210;1.700;2.800.000;2d;415;13;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;14;48;240;1.950;4.300.000;2d 12h;464;14;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;15;54;270;2.150;5.000.000;3d;509;15;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;16;60;300;2.300;7.000.000;4d;587;16;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;17;66;330;2.450;13.000.000;5d;657;17;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
3;MRT;Mortar;18;72;360;2.550;21.000.000;12d 12h;1.039;18;3x3;4;11;5s;Splash (1.5 tiles);Ground;4
4;WLL;Wall;1;;;100;;;;2;1x1;;;;;;25
4;WLL;Wall;2;;;200;;;;2;1x1;;;;;;25
4;WLL;Wall;3;;;400;;;;3;1x1;;;;;;50
4;WLL;Wall;4;;;800;;;;4;1x1;;;;;;75
4;WLL;Wall;5;;;1,2;;;;5;1x1;;;;;;100
4;WLL;Wall;6;;;1,8;;;;6;1x1;;;;;;125
4;WLL;Wall;7;;;2,4;;;;7;1x1;;;;;;175
4;WLL;Wall;8;;;3;;;;8;1x1;;;;;;225
4;WLL;Wall;9;;;3,5;;;;9;1x1;;;;;;250
4;WLL;Wall;10;;;4;;;;9;1x1;;;;;;250
4;WLL;Wall;11;;;5;;;;10;1x1;;;;;;275
4;WLL;Wall;12;;;7;;;;11;1x1;;;;;;300
4;WLL;Wall;13;;;8;;;;12;1x1;;;;;;300
4;WLL;Wall;14;;;9;;;;13;1x1;;;;;;300
4;WLL;Wall;15;;;10;;;;14;1x1;;;;;;325
4;WLL;Wall;16;;;11;;;;15;1x1;;;;;;325
4;WLL;Wall;17;;;12;;;;16;1x1;;;;;;325
4;WLL;Wall;18;;;13;;;;17;1x1;;;;;;325
4;WLL;Wall;19;;;14;;;;18;1x1;;;;;;325
